Designator,Footprint,Quantity,Value,LCSC Part #,MPN
"BOOT1, RESET1",SW_TS-1088-AR02016,2,TS-1088-AR02016,C720477,TS-1088-AR02016
"C10, C12, C9, C11, C37, C38, C17",402,7,10uF,C15525,CL05A106MQ5NUNC
"C16, C18",402,2,22pF,C1555,0402CG220J500NT
"C20, C22, C28",402,3,1uF,C52923,CL05A105KA5NQNC
"C23, C24, C26, C27, C2, C3, C25, C4, C5",402,9,0.1uF,C1525,CL05B104KO5NNNC
C1,402,1,10 nF,C15195,CL05B103KB5NNNC
"C29, C30",402,2,15pF,C1548,0402CG150J500NT
D2,D_SOD-323,1,ESD 3.3V,C20617915,H3V3HD3B
"D3, D4, D7",603,3,LED,C2286,KT-0603R
"D5, D6",H5VL10B,2,~,C7420372,H5VL10B
D8,D_SMA,1,SS14,C2480,SS14
JUSB1,USB_TYPE_18,1,~,C2927038,DEALON USB-TYPE-C-018 
L3,402,1,24 nH,C74301,SDCL1005C24NJTDF
L4,603,1,2 nH,C370234,SDCL1608C2N0STDF
L5,402,1,4.7nH,C13595,SDCL1005C4N7STDF
Q2,SOT-23,1,AO3401A,C15127,AO3401A
"R10, R11, R7, R8, R9",402,5,0,C17168,0402WGF0000TCE
"R13, R16, R17",402,3,499,C25117,0402WGF4700TCE
R18,402,1,1K,C11702,0402WGF1001TCE
"R2, R3",603,2,5.1K,C23186,0603WAF5101T5E
R21,402,1,100K,C25741,0402WGF1003TCE
"R22, R23",402,2,200K,C25764,0402WGF2003TCE
R4,603,1,10K,C25804,0603WAF1002T5E
R5,402,1,2K,C4109,0402WGF2001TCE
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186,AMS1117-3.3
U2,SOT-23-5,1,~,C32574,TP4054-42-SOT25R
U3,IC_ESP32-S3,1,ESP32-S3,C2913192,C2913192
U4,SOIC127P790X216-8N,1,W25Q128JVSIQ,C97521,W25Q128JVSIQ
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,~,C3003278,5YMA40000151SF40E1
